"","Customer.Subtype","Avg.size.household","Avg.age","Customer.main.type","Married","Living.together","Other.relation","Singles","Household.without.children","Household.with.children","High.status","Entrepreneur","Farmer","Middle.management","Skilled.labourers","Unskilled.labourers","Rented.house","Home.owners","1.car","2.cars","No.car","National.Health.Service","Private.health.insurance","Income.less.then.30K","Income.in.30.45K","Income.in.45.75K","Income.in.75.122K","Income.more.then.123K","Purchasing.power.class","Cont.private.third.party.insr","Cont.car.pol","Cont.boat.pol","Num.of.private.third.party.insur","Number.of.boat.pol","Num.of.mobile.home.policies","Other.contribution","Number.of.other.policies"
"1",33,3,2,8,7,0,2,1,2,6,1,0,1,2,5,2,1,8,8,0,1,8,1,0,4,5,0,0,3,0,6,0,0,0,"0",0,0
"2",37,2,2,8,6,2,2,0,4,5,0,0,0,5,0,4,2,7,7,1,2,6,3,2,0,5,2,0,4,2,0,0,2,0,"0",0,0
"3",37,2,2,8,3,2,4,4,4,2,0,0,0,7,0,2,7,2,7,0,2,9,0,4,5,0,0,0,4,2,6,0,1,0,"0",0,0
"4",9,3,3,3,5,2,2,2,3,4,4,0,0,3,1,2,5,4,9,0,0,7,2,1,5,3,0,0,4,0,6,0,0,0,"0",0,0
"5",40,4,2,10,7,1,2,2,4,4,0,5,4,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,3,0,0,0,0,0,"0",0,0
"6",23,2,1,5,0,6,3,3,5,2,2,0,0,4,2,2,9,0,5,3,3,9,0,5,2,3,0,0,3,0,6,0,0,0,"0",0,0
"7",39,3,2,9,7,2,0,0,3,6,0,0,0,4,1,5,6,3,8,0,1,9,0,4,3,3,0,0,5,0,6,0,0,0,"0",0,0
"8",33,2,3,8,7,2,0,0,5,4,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,0,0,0,0,0,"0",3,1
"9",33,2,4,8,6,0,3,3,3,3,1,1,0,1,8,1,9,0,5,2,3,7,2,7,2,1,0,0,3,0,5,0,0,0,"0",0,0
"10",11,3,3,3,7,0,2,2,2,6,2,0,0,3,3,3,0,9,6,1,2,6,3,2,3,3,1,0,7,2,0,0,1,0,"0",0,0
"11",10,4,3,3,7,1,2,0,3,6,0,0,0,9,0,0,0,9,6,2,1,5,4,0,3,2,2,2,7,0,6,0,0,0,"0",0,0
"12",9,3,3,3,7,1,2,2,3,5,4,0,0,5,1,1,6,3,7,1,2,4,5,3,4,3,1,0,4,2,5,0,1,0,"0",0,0
"13",33,2,3,8,6,2,3,3,4,3,1,1,0,3,2,4,5,4,6,1,3,7,2,3,4,3,1,0,3,0,6,0,0,0,"0",0,0
"14",41,3,3,10,7,1,1,1,4,5,3,0,1,2,2,2,5,4,7,2,0,8,1,3,2,4,1,0,4,0,0,0,0,0,"0",0,0
"15",23,1,2,5,1,2,6,5,3,1,1,0,0,4,3,2,9,0,5,1,3,5,4,4,3,3,0,0,3,2,5,0,1,0,"0",0,0
"16",33,2,3,8,7,2,0,0,5,4,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,2,0,0,1,0,"0",0,0
"17",38,2,3,9,7,0,2,0,6,3,2,0,0,4,0,4,6,3,7,2,0,4,5,0,1,6,2,0,4,0,0,0,0,0,"0",0,0
"18",22,3,3,5,7,0,2,0,2,7,0,2,0,1,1,5,4,5,6,1,2,7,2,0,6,3,0,0,2,2,6,0,1,0,"0",0,0
"19",13,4,2,3,7,0,2,1,3,6,6,0,0,3,0,1,4,5,7,1,2,5,4,2,2,6,0,0,6,2,5,0,1,0,"0",0,0
"20",31,2,4,7,9,0,0,0,6,3,0,0,0,2,4,4,9,0,7,2,0,9,0,5,4,0,0,0,1,0,0,0,0,0,"0",3,1
"21",33,4,3,8,9,0,0,0,3,6,0,0,3,0,6,0,9,0,7,2,0,9,0,3,5,2,0,0,3,0,6,0,0,0,"0",0,0
"22",33,3,3,8,7,0,2,0,2,7,0,0,2,4,0,3,0,9,7,0,2,9,0,3,6,0,0,0,3,2,6,0,1,0,"0",0,0
"23",13,3,2,3,7,0,2,1,3,6,6,0,0,2,0,1,4,5,7,2,1,5,4,1,1,8,0,0,6,2,6,0,1,0,"0",4,1
"24",34,3,2,8,7,2,0,0,4,5,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,6,0,0,0,0,0,"0",0,0
"25",13,4,3,3,8,1,1,1,3,6,4,0,0,3,3,0,1,8,8,0,1,4,5,0,5,4,0,0,6,0,0,0,0,0,"0",1,1
"26",33,3,3,8,6,0,3,2,3,5,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,3,2,0,0,1,0,"0",0,0
"27",37,3,3,8,7,2,0,0,3,6,1,0,0,5,2,2,8,1,9,0,0,5,4,2,3,3,2,0,4,0,6,0,0,0,"0",0,0
"28",40,3,3,10,9,0,0,0,4,5,2,0,5,0,2,0,2,7,7,2,0,7,2,4,2,4,0,0,3,2,0,0,1,0,"0",0,0
"29",31,4,2,7,5,0,4,0,0,9,0,0,2,0,3,5,9,0,3,2,4,7,2,9,0,0,0,0,1,0,0,0,0,0,"0",3,1
"30",33,2,3,8,5,1,4,4,1,5,0,0,1,2,6,1,8,1,5,1,4,8,1,5,3,2,0,0,3,2,0,0,1,0,"0",0,0
"31",24,2,2,5,2,4,3,3,3,3,2,0,0,5,3,0,5,4,7,0,2,9,0,5,3,2,0,0,2,2,6,0,1,0,"0",0,0
"32",23,2,2,5,7,1,2,6,0,3,3,0,0,1,1,5,6,3,7,1,2,6,3,4,4,2,0,0,3,0,0,0,0,0,"0",4,1
"33",33,4,3,8,8,1,1,1,2,7,3,1,1,2,4,1,4,5,5,4,1,7,2,4,2,4,0,1,3,0,6,0,0,0,"0",0,0
"34",38,2,3,9,4,2,4,4,4,3,2,1,0,3,2,3,6,3,6,1,3,8,1,4,3,3,0,0,4,0,0,0,0,0,"0",0,0
"35",13,4,3,3,8,1,1,1,3,6,4,0,0,3,3,0,1,8,8,0,1,4,5,0,5,4,0,0,6,0,0,0,0,0,"0",0,0
"36",8,3,2,2,6,1,3,1,4,5,2,2,0,3,1,3,6,3,7,1,2,6,3,3,4,3,0,0,7,2,6,0,1,0,"0",10,3
